City,Title,Views,Likes,Comments,Publish_Date,Video_URL
Bangkok,"3 Michelin Street Food Dishes in Bangkok, Thailand",140643,2412,18,2024-03-18T13:00:20Z,https://www.youtube.com/watch?v=NN3xzqEL21U
San Salvador,El Salvador: What to eat in El Salvador,137706,14298,362,2020-05-13T12:00:28Z,https://www.youtube.com/watch?v=on-eaIDZ0LI
Paris,"The ULTIMATE Paris Food Tour - 18 Must-Try Dishes! (baguette, beef bourguignon, crepes & more)",117081,2027,134,2025-07-30T16:52:47Z,https://www.youtube.com/watch?v=e82fDlJnLSo
San Salvador,El Salvador’s Best Street Food,107099,2764,230,2025-08-08T15:01:07Z,https://www.youtube.com/watch?v=YDCJo_cyEic
San Salvador,"SAN SALVADOR STREET FOOD TOUR - Pupusas, Cemitas, Tres Leches + AUTHENTIC FOODS in EL SALVADOR!",78139,11930,342,2023-05-30T02:00:09Z,https://www.youtube.com/watch?v=M6aFXAs_1ek
Seoul,SEOUL Food Guide | 24 Places to Eat & Drink (With Prices!),72605,950,27,2025-06-25T05:00:45Z,https://www.youtube.com/watch?v=i04uAkqI48U
Paris,Paris Best Street Food: 13 Must-Try French Treats,46586,1664,108,2025-04-12T15:30:18Z,https://www.youtube.com/watch?v=PZYvoBtyYUw
Seoul,"Best Street Food in KOREA, Not GWANGJANG MARKET NETFLEX | SEOUL Travel Guide",37929,678,50,2024-02-15T09:15:02Z,https://www.youtube.com/watch?v=w1Ur8CsLUm8
San Salvador,Authentic EL SALVADOR🍊Massive STREET MARKET & Local Food Adventure!!,37139,2931,190,2022-12-05T18:54:59Z,https://www.youtube.com/watch?v=3AYByNY59XA
San Salvador,Have you ever tried food from El Salvador?,27755,1456,48,2024-12-03T03:12:16Z,https://www.youtube.com/watch?v=T7jKU_-xXnQ
San Salvador,"Trying EL SALVADOR’S BEST DISHES 🇸🇻 (pupusas, elote loco, yuca frita, more!)",22740,933,132,2025-02-15T17:00:47Z,https://www.youtube.com/watch?v=hu5Dp3ZtY6I
San Salvador,TOP 15 Things to Do When You Visit El Salvador.,18666,787,10,2023-02-15T19:28:21Z,https://www.youtube.com/watch?v=F1R0rbqH8Gs
Tokyo,Best street in Tokyo! 📍 Omoide Yokocho #tokyotravel #tokyostreetfood #shinjuku #tokyotravelguide,16362,208,7,2024-10-10T23:47:26Z,https://www.youtube.com/watch?v=mLqXovRbwY8
Paris,The Best Street Food in Paris,9645,377,23,2023-10-22T12:00:39Z,https://www.youtube.com/watch?v=jv9EG0pco4o
San Salvador,San Salvador's Street Food Is Unbelievable 🇸🇻,3125,125,25,2025-07-20T16:00:06Z,https://www.youtube.com/watch?v=xS4OlhOvVZ0
